city,venue_id,event_type,start_date,artist,artist_id
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-05T20:30:00,SAEZ,saez-11695
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-06T19:00:00,FRANGLISH,franglish-161676
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-08T20:00:00,PUB ROYAL,pub-royal-227823
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-09T20:00:00,LE SYNDROME DU PAPILLON,le-syndrome-du-papillon-12777
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-10T20:00:00,LA TOURNEE DU TRIO,la-tournee-du-trio-14335
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-11T20:00:00,13HZ,13hz-14255
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-12T20:00:00,BONHOMME (Jarry),bonhomme-jarry-13795
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-13T18:00:00,STAR ACADEMY 2024,star-academy-2024-23201
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-14T20:00:00,LENNY KRAVITZ,lenny-kravitz-16471
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-15T20:00:00,PHILIPPE KATERINE,philippe-katerine-84
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-16T20:00:00,PIERRE GARNIER,pierre-garnier-232189
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-17T20:00:00,ON EST ENSEMBLE,on-est-ensemble-14405
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-18T20:00:00,TIAKOLA,tiakola-190825
Floirac,arkea-arena---bordeaux-53144,Concert,2025-04-26T15:00:00,MOLIERE L’OPERA URBAIN,moliere-lopera-urbain-204967
Floirac,arkea-arena---bordeaux-53144,Concert,2025-05-06T20:00:00,PIXIES,pixies-28301
Floirac,arkea-arena---bordeaux-53144,Concert,2025-05-09T20:00:00,LOUANE,louane-138473
Floirac,arkea-arena---bordeaux-53144,Concert,2025-05-10T15:00:00,MUSIC IS COMING,music-is-coming-12803
Floirac,arkea-arena---bordeaux-53144,Concert,2025-05-10T20:00:00,ELECTRO SYMPHONY,electro-symphony-234899
Floirac,arkea-arena---bordeaux-53144,Concert,2025-05-14T20:00:00,MICHEL POLNAREFF,michel-polnareff-36218
Floirac,arkea-arena---bordeaux-53144,Concert,2025-05-15T20:00:00,SOOLKING,soolking-171695
Floirac,arkea-arena---bordeaux-53144,Concert,2025-05-17T20:30:00,RETOUR VERS MON FUTUR,retour-vers-mon-futur-239265
Floirac,arkea-arena---bordeaux-53144,Concert,2025-05-18T16:00:00,LE LAC DES CYGNES (Franceconcert 2025),le-lac-des-cygnes-franceconcert-2025-211865
Floirac,arkea-arena---bordeaux-53144,Concert,2025-05-22T20:00:00,LA TOURNEE DU TRIO,la-tournee-du-trio-14335
Floirac,arkea-arena---bordeaux-53144,Concert,2025-05-23T20:00:00,JULIEN DORE,julien-dore-45638
Floirac,arkea-arena---bordeaux-53144,Concert,2025-06-26T20:00:00,SANTA,santa-44957
Floirac,arkea-arena---bordeaux-53144,Concert,2025-10-12T17:00:00,"MANIA, THE ABBA TRIBUTE",mania-the-abba-tribute-27965
Floirac,arkea-arena---bordeaux-53144,Concert,2025-10-14T20:00:00,LARA FABIAN,lara-fabian-7137
Floirac,arkea-arena---bordeaux-53144,Concert,2025-11-01T20:00:00,AMIR,amir-131315
Floirac,arkea-arena---bordeaux-53144,Concert,2025-11-05T20:00:00,LAMOMALI,lamomali-156231
Floirac,arkea-arena---bordeaux-53144,Concert,2025-11-14T20:30:00,EN PLEINE CONSCIENCE (Djal),en-pleine-conscience-djal-13991
Floirac,arkea-arena---bordeaux-53144,Concert,2025-11-16T15:00:00,50 ANS D'AMOUR !,50-ans-damour--14537
Floirac,arkea-arena---bordeaux-53144,Concert,2025-11-21T20:00:00,SOPRANO,soprano-39788
Floirac,arkea-arena---bordeaux-53144,Concert,2025-11-22T20:00:00,SOPRANO,soprano-39788
Floirac,arkea-arena---bordeaux-53144,Concert,2025-11-28T20:00:00,JULIEN DORE,julien-dore-45638
Floirac,arkea-arena---bordeaux-53144,Concert,2025-12-09T20:00:00,GOJIRA,gojira-21008
Floirac,arkea-arena---bordeaux-53144,Concert,2025-12-10T20:00:00,CLOWN N'EST PAS UN METIER !!,clown-nest-pas-un-metier--14541
Floirac,arkea-arena---bordeaux-53144,Concert,2025-12-11T20:00:00,CARMINA BURANA (Franceconcert),carmina-burana-franceconcert-126285
Floirac,arkea-arena---bordeaux-53144,Concert,2025-12-11T20:00:00,"CARMINA BURANA (Ballet, Orchestre Et Choeurs - Opera National De Russie)",carmina-burana-ballet-orchestre-et-choeurs---opera-national-de-russie-148927
Floirac,arkea-arena---bordeaux-53144,Concert,2025-12-12T20:30:00,GLORY ALLELUIA,glory-alleluia-13421
Floirac,arkea-arena---bordeaux-53144,Concert,2025-12-13T20:00:00,M. POKORA,m-pokora-34000
Floirac,arkea-arena---bordeaux-53144,Concert,2025-12-15T20:30:00,DAVID VOINSON,david-voinson-172146
Floirac,arkea-arena---bordeaux-53144,Concert,2025-12-19T20:00:00,HELENA,helena-242807
Floirac,arkea-arena---bordeaux-53144,Concert,2026-01-08T20:30:00,THOMAS ANGELVY,thomas-angelvy-152355
Floirac,arkea-arena---bordeaux-53144,Concert,2026-01-09T20:30:00,NORA HAMZAWI,nora-hamzawi-62000
Floirac,arkea-arena---bordeaux-53144,Concert,2026-01-11T17:30:00,GOLDMEN (Tribute to Fredericks Goldman Jones),goldmen-tribute-to-fredericks-goldman-jones-242891
Floirac,arkea-arena---bordeaux-53144,Concert,2026-01-16T20:00:00,CASSE-NOISETTE (British Festival Ballet),casse-noisette-british-festival-ballet-234901
Floirac,arkea-arena---bordeaux-53144,Concert,2026-01-17T20:30:00,MICHEL JONASZ,michel-jonasz-85648
Floirac,arkea-arena---bordeaux-53144,Concert,2026-01-20T00:00:00,LA OU L IMPOSSIBLE PREND VIE,la-ou-l-impossible-prend-vie-14545
Floirac,arkea-arena---bordeaux-53144,Concert,2026-01-22T20:00:00,LA FOUINE,la-fouine-34055
Floirac,arkea-arena---bordeaux-53144,Concert,2026-01-29T20:00:00,"GENERATION CELINE ""T'AIMER ENCORE""",generation-celine-taimer-encore-236693
Floirac,arkea-arena---bordeaux-53144,Concert,2026-01-30T20:30:00,PAR AMOUR,par-amour-14327
Floirac,arkea-arena---bordeaux-53144,Concert,2026-01-31T20:30:00,PAR AMOUR,par-amour-14327
Floirac,arkea-arena---bordeaux-53144,Concert,2026-02-05T20:00:00,LOUANE,louane-138473
Floirac,arkea-arena---bordeaux-53144,Concert,2026-02-14T20:00:00,CARMINA BURANA (Franceconcert),carmina-burana-franceconcert-126285
Floirac,arkea-arena---bordeaux-53144,Concert,2026-02-28T20:00:00,KENDJI GIRAC,kendji-girac-133392
Floirac,arkea-arena---bordeaux-53144,Concert,2026-03-04T20:00:00,I GOTTA FEELING,i-gotta-feeling-228035
