venue_id,venue_name
lavant-scene-a-bordeaux-60393,L'AVANT SCENE A BORDEAUX(33)
le-chai-doc-a-bordeaux-45256,LE CHAI D'OC A BORDEAUX(33)
salle-pierre-tachou-a-bordeaux-45576,SALLE PIERRE TACHOU A BORDEAUX(33)
espace-du-lac--parc-des-expos-a-bordeaux-9366,ESPACE DU LAC / PARC DES EXPOS A BORDEAUX(33)
fl4-a-bordeaux-36731,FL4 A BORDEAUX(33)
college-fieffe-a-bordeaux-53421,COLLEGE FIEFFE A BORDEAUX(33)
temple-du-ha-a-bordeaux-22842,TEMPLE DU HA A BORDEAUX(33)
eglise-saint-paul-a-bordeaux-42082,EGLISE SAINT PAUL A BORDEAUX(33)
minus-pub-a-bordeaux-66297,MINUS PUB A BORDEAUX(33)
eglise-saint-amand-cauderan-a-bordeaux-31700,EGLISE SAINT AMAND CAUDERAN A BORDEAUX(33)
cave-des-artistes-de-bordeaux-48666,CAVE DES ARTISTES DE BORDEAUX(33)
la-centrale-a-bordeaux-14845,LA CENTRALE A BORDEAUX(33)
theatre-la-boite-a-jouer-a-bordeaux-37389,THEATRE LA BOITE A JOUER A BORDEAUX(33)
eglise-saint-paul-des-dominicains-a-bordeaux-56209,EGLISE SAINT PAUL DES DOMINICAINS A BORDEAUX(33)
leclipse-a-bordeaux-24756,L'ECLIPSE A BORDEAUX(33)
halles-des-douves-a-bordeaux-43721,HALLES DES DOUVES A BORDEAUX(33)
quai-de-la-douane-a-bordeaux-71983,QUAI DE LA DOUANE A BORDEAUX(33)
couvent-de-lannonciade-a-bordeaux-33387,COUVENT DE L'ANNONCIADE A BORDEAUX(33)
inglorious-bar-star-a-bordeaux-51117,INGLORIOUS BAR STAR A BORDEAUX(33)
les-lectures-aleatoires-a-bordeaux-40374,LES LECTURES ALEATOIRES A BORDEAUX(33)
la-voute-a-bordeaux-60397,LA VOUTE A BORDEAUX(33)
centre-danimation-saint-pierre-a-bordeaux-27753,CENTRE D'ANIMATION SAINT PIERRE A BORDEAUX(33)
athenee-municipal-joseph-wresinski-a-bordeaux-45577,ATHENEE MUNICIPAL JOSEPH WRESINSKI A BORDEAUX(33)
bateau-ville-de-bordeaux-9586,BATEAU VILLE DE BORDEAUX(33)
cafe-pompier-a-bordeaux-36738,CAFE POMPIER A BORDEAUX(33)
parvis-des-freres-pouyanne-a-bordeaux-53523,PARVIS DES FRERES POUYANNE A BORDEAUX(33)
le-medieval-a-bordeaux-23046,LE MEDIEVAL A BORDEAUX(33)
el-chuchumbe-a-bordeaux-42229,EL CHUCHUMBE A BORDEAUX(33)
kitchen-studio-a-bordeaux-66299,KITCHEN STUDIO A BORDEAUX(33)
el-boqueron-a-bordeaux-31740,EL BOQUERON A BORDEAUX(33)
booboo-zzz-club-a-bordeaux-48718,BOOBOO ZZZ CLUB A BORDEAUX(33)
ciam-a-bordeaux-14857,CIAM A BORDEAUX(33)
le-oloops-a-bordeaux-37609,LE OLOOPS A BORDEAUX(33)
place-ferdinand-buisson-a-bordeaux-56311,PLACE FERDINAND BUISSON A BORDEAUX(33)
king-palace-a-bordeaux-24757,KING PALACE A BORDEAUX(33)
quai-deschamps-a-bordeaux-43768,QUAI DESCHAMPS A BORDEAUX(33)
quai-louis-xviii-a-bordeaux-71985,QUAI LOUIS XVIII A BORDEAUX(33)
le-patio-a-bordeaux-33411,LE PATIO A BORDEAUX(33)
hangar-darwin-a-bordeaux-51141,HANGAR DARWIN A BORDEAUX(33)
fnac-bordeaux-centre-19000,FNAC BORDEAUX CENTRE(33)
bar-de-la-marine-a-bordeaux-40555,BAR DE LA MARINE A BORDEAUX(33)
limperio-a-bordeaux-60398,L'IMPERIO A BORDEAUX(33)
salle-son-tay-a-bordeaux-27754,SALLE SON TAY A BORDEAUX(33)
le-dark-wave-a-bordeaux-28264,LE DARK WAVE A BORDEAUX(33)
auditorium-saint-genes-a-bordeaux-45578,AUDITORIUM SAINT GENES A BORDEAUX(33)
stade-charles-martin-a-bordeaux-9891,STADE CHARLES MARTIN A BORDEAUX(33)
le-chico-loco-a-bordeaux-36777,LE CHICO LOCO A BORDEAUX(33)
le-point-rouge-a-bordeaux-54356,LE POINT ROUGE A BORDEAUX(33)
la-cave-belge-a-bordeaux-23121,LA CAVE BELGE A BORDEAUX(33)
broca-4-a-bordeaux-42243,BROCA 4 A BORDEAUX(33)
cour-du-musee-des-arts-decoratifs-et-du-design-bordeaux-67475,COUR DU MUSEE DES ARTS DECORATIFS ET DU DESIGN BORDEAUX(33)
bulle-de-fabrique-a-bordeaux-31959,BULLE DE FABRIQUE A BORDEAUX(33)
la-cave-du-terroir-a-bordeaux-48719,LA CAVE DU TERROIR A BORDEAUX(33)
la-lune-dans-le-caniveau-a-bordeaux-14957,LA LUNE DANS LE CANIVEAU A BORDEAUX(33)
bourse-du-travail-a-bordeaux-37611,BOURSE DU TRAVAIL A BORDEAUX(33)
esplanade-meriadeck-a-bordeaux-56312,ESPLANADE MERIADECK A BORDEAUX(33)
place-amedee-larrieu-a-bordeaux-25017,PLACE AMEDEE LARRIEU A BORDEAUX(33)
place-victor-raulin-a-bordeaux-44006,PLACE VICTOR RAULIN A BORDEAUX(33)
firstname-a-bordeaux-72565,FIRSTNAME A BORDEAUX(33)
brasserie-du-port-a-bordeaux-73681,BRASSERIE DU PORT A BORDEAUX(33)
light-club-a-bordeaux-51239,LIGHT CLUB A BORDEAUX(33)
le-saint-ex-a-bordeaux-19196,LE SAINT EX A BORDEAUX(33)
ecole-de-cirque-a-bordeaux-40556,ECOLE DE CIRQUE A BORDEAUX(33)
conservatoire-regional-de-bordeaux-jacques-thibaud-60482,CONSERVATOIRE REGIONAL DE BORDEAUX JACQUES THIBAUD(33)
rue-joseph-brunet-a-bordeaux-28866,RUE JOSEPH BRUNET A BORDEAUX(33)
lhibiscus-a-bordeaux-45653,L'HIBISCUS A BORDEAUX(33)
stade-chaban-delmas--a-bordeaux-11147,STADE CHABAN DELMAS  A BORDEAUX(33)
lours-marin-a-bordeaux-36818,L'OURS MARIN A BORDEAUX(33)
place-buscaillet-a-bordeaux-54357,PLACE BUSCAILLET A BORDEAUX(33)
maison-cantonale-de-bordeaux-23254,MAISON CANTONALE DE BORDEAUX(33)
eglise-sainte-eulalie-a-bordeaux-42265,EGLISE SAINTE EULALIE A BORDEAUX(33)
plein-air-a-bordeaux-67663,PLEIN AIR A BORDEAUX(33)
ls-cafe-a-bordeaux-32160,LS CAFE A BORDEAUX(33)
discotheque-le-pacha-a-bordeaux-48860,DISCOTHEQUE LE PACHA A BORDEAUX(33)
galerie-des-beaux-arts-a-bordeaux-15056,GALERIE DES BEAUX ARTS A BORDEAUX(33)
tchai-bar-a-bordeaux-37891,TCHAI BAR A BORDEAUX(33)
aire-rafael-padilla-a-bordeaux-56313,AIRE RAFAEL PADILLA A BORDEAUX(33)
centre-danimation-queyries-a-bordeaux-26134,CENTRE D'ANIMATION QUEYRIES A BORDEAUX(33)
bateau-aquitania-a-bordeaux-44034,BATEAU AQUITANIA A BORDEAUX(33)
le-sicambre-bateau-restaurant-a-bordeaux-72571,LE SICAMBRE BATEAU RESTAURANT A BORDEAUX(33)
ola-ke-tal-a-bordeaux-33933,OLA KE TAL A BORDEAUX(33)
la-cassette-a-bordeaux-73689,LA CASSETTE A BORDEAUX(33)
bateau-sicambre-a-bordeaux-51348,BATEAU SICAMBRE A BORDEAUX(33)
eglise-sainte-marie-de-bordeaux-19293,EGLISE SAINTE MARIE DE BORDEAUX(33)
cafe-brun-a-bordeaux-40607,CAFE BRUN A BORDEAUX(33)
astrodome-a-bordeaux-60606,ASTRODOME A BORDEAUX(33)
espace-saint-remi-a-bordeaux-28945,ESPACE SAINT REMI A BORDEAUX(33)
le-bootleg-a-bordeaux-45715,LE BOOTLEG A BORDEAUX(33)
theatre-du-pont-tournant-a-bordeaux-11238,THEATRE DU PONT TOURNANT A BORDEAUX(33)
parc-de-bacalan-a-bordeaux-54358,PARC DE BACALAN A BORDEAUX(33)
la-vigie-a-bordeaux-23374,LA VIGIE A BORDEAUX(33)
atelier-laurent-durrey--atelier-18-a-bordeaux-42375,ATELIER LAURENT DURREY / ATELIER 18 A BORDEAUX(33)
jardin-public-a-bordeaux-67691,JARDIN PUBLIC A BORDEAUX(33)
leclypse-a-bordeaux-32265,L'ECLYPSE A BORDEAUX(33)
machine-a-musique-a-bordeaux-48904,MACHINE A MUSIQUE A BORDEAUX(33)
brasserie-de-belcier-a-bordeaux-56409,BRASSERIE DE BELCIER A BORDEAUX(33)
maison-des-basques-a-bordeaux-26135,MAISON DES BASQUES A BORDEAUX(33)
port-autonome-de-bordeaux-44106,PORT AUTONOME DE BORDEAUX(33)
site-de-lumi-a-bordeaux-72573,SITE DE LUMI A BORDEAUX(33)
chapelle-de-la-drac-a-bordeaux-34157,CHAPELLE DE LA DRAC A BORDEAUX(33)
eglise-saint-remi-de-la-vigne-a-bordeaux-73915,EGLISE SAINT REMI DE LA VIGNE A BORDEAUX(33)
quai-richelieu-a-bordeaux-51350,QUAI RICHELIEU A BORDEAUX(33)
blueberry-a-bordeaux-19348,BLUEBERRY A BORDEAUX(33)
place-saint-michel-a-bordeaux-40665,PLACE SAINT MICHEL A BORDEAUX(33)
cancan-a-bordeaux-60758,CANCAN A BORDEAUX(33)
la-pachanga-a-bordeaux-60875,LA PACHANGA A BORDEAUX(33)
apollo-bar-a-bordeaux-29211,APOLLO BAR A BORDEAUX(33)
la-tencha-a-bordeaux-45782,LA TENCHA A BORDEAUX(33)
le-globe-a-bordeaux-37052,LE GLOBE A BORDEAUX(33)
guitars-54645,GUITARS & CO A BORDEAUX(33)
le-holart-a-bordeaux-23375,LE HOL'ART A BORDEAUX(33)
impulse-club-a-bordeaux-42459,IMPULSE CLUB A BORDEAUX(33)
le-zig-zag-a-bordeaux-32303,LE ZIG ZAG A BORDEAUX(33)
eglise-notre-dame-des-anges-a-bordeaux-49051,EGLISE NOTRE DAME DES ANGES A BORDEAUX(33)
eglise-saint-augustin-a-bordeaux-15286,EGLISE SAINT AUGUSTIN A BORDEAUX(33)
le-marquis-a-bordeaux-38599,LE MARQUIS A BORDEAUX(33)
centre-de-tri-postal-armagnac-a-bordeaux-56674,CENTRE DE TRI POSTAL ARMAGNAC A BORDEAUX(33)
le-taratata-a-bordeaux-26610,LE TARATATA A BORDEAUX(33)
bacalan-a-bordeaux-44288,BACALAN A BORDEAUX(33)
megarama-a-bordeaux-73529,MEGARAMA A BORDEAUX(33)
eglise-saint-martial-a-bordeaux-34268,EGLISE SAINT MARTIAL A BORDEAUX(33)
universite-de-bordeaux---campus-victoire-74151,UNIVERSITE DE BORDEAUX - CAMPUS VICTOIRE(33)
lazuli-de-bordeaux-19555,L'AZULI DE BORDEAUX(33)
les-vivres-de-lart-a-bordeaux-40837,LES VIVRES DE L'ART A BORDEAUX(33)
le-pavillon-noir-a-bordeaux-41139,LE PAVILLON NOIR A BORDEAUX(33)
parc-aux-angeliques-a-bordeaux-61060,PARC AUX ANGELIQUES A BORDEAUX(33)
place-de-la-bourse-a-bordeaux-29246,PLACE DE LA BOURSE A BORDEAUX(33)
le-vinset-a-bordeaux-45790,LE VINSET A BORDEAUX(33)
petit-rouge-de-bordeaux-11336,PETIT ROUGE DE BORDEAUX(33)
casa-latino-a-bordeaux-37053,CASA LATINO A BORDEAUX(33)
amphi-700-de-luniversite-bordeaux-montaigne-54849,AMPHI 700 DE L'UNIVERSITE BORDEAUX MONTAIGNE(33)
congo-cafe-a-bordeaux-23417,CONGO CAFE A BORDEAUX(33)
h36-a-bordeaux-42522,H36 A BORDEAUX(33)
place-andre-meunier-a-bordeaux-68921,PLACE ANDRE MEUNIER A BORDEAUX(33)
labrenat-a-bordeaux-32308,L'ABRENAT A BORDEAUX(33)
villa-88-a-bordeaux-49497,VILLA 88 A BORDEAUX(33)
plein-air-a-bordeaux-15688,PLEIN AIR A BORDEAUX(33)
domaine-universitaire-bordeaux-3-scene-exterieure-38693,DOMAINE UNIVERSITAIRE BORDEAUX 3 (SCENE EXTERIEURE)(33)
pont-de-pierre-a-bordeaux-56990,PONT DE PIERRE A BORDEAUX(33)
le-chat-qui-peche-a-bordeaux-26734,LE CHAT QUI PECHE A BORDEAUX(33)
esplanade-universite-bordeaux-iv-44495,ESPLANADE UNIVERSITE BORDEAUX IV(33)
patinoire-meriadeck-a-bordeaux-1155,PATINOIRE MERIADECK A BORDEAUX(33)
plein-air-a-carignan-de-bordeaux-34417,PLEIN AIR A CARIGNAN DE BORDEAUX(33)
mama-shelter-bordeaux-52337,MAMA SHELTER BORDEAUX(33)
institut-cervantes-a-bordeaux-20038,INSTITUT CERVANTES A BORDEAUX(33)
galeries-lafayette-a-bordeaux-41147,GALERIES LAFAYETTE A BORDEAUX(33)
crous-de-bordeaux-aquitaine-62181,CROUS DE BORDEAUX AQUITAINE(33)
esplanade-des-quinconces-a-bordeaux-29789,ESPLANADE DES QUINCONCES A BORDEAUX(33)
le-caillou--jardin-botanique-de-bordeaux-46399,LE CAILLOU / JARDIN BOTANIQUE DE BORDEAUX(33)
cafe-des-sports-a-bordeaux-11464,CAFE DES SPORTS A BORDEAUX(33)
loxford-arms-a-bordeaux-37054,L'OXFORD ARMS A BORDEAUX(33)
