artist_id,artist_name,genre
jenifer-24441,JENIFER,Variété Française
ouai-stephane-171545,OUAI STEPHANE,Electro
benoit-doremus-34829,BENOIT DOREMUS,Variété Française
dewalta-173546,DEWALTA,Dj
alizon-158659,ALIZON,Scène Française
lescop-103637,LESCOP,Scène Française
i-hate-models-159279,I HATE MODELS,Electro
carista-177040,CARISTA,Dj
christophe-lasnier-169237,CHRISTOPHE LASNIER,Variété Française
dope-dod-102700,DOPE DOD,Hip-Hop/Rap/R'n'B
martha-high-28371,MARTHA HIGH,Soul/Funk/Groove
johnny-jane-180925,JOHNNY JANE,Scène Française
maxence-maxenss-158063,MAXENCE (MAXENSS),Hip-Hop/Rap/R'n'B
shlomo-schlomo-129991,SHLØMO (SCHLOMO),Electro
vladimir-cauchemar-169640,VLADIMIR CAUCHEMAR,Electro
chloe-jiyeong-mun-239341,CHLOE JIYEONG MUN,Classique
tolkia-242139,TOLKIA,Scène Française
dj-falcon-15848,DJ FALCON,Electro
matthew-herbert-18760,MATTHEW HERBERT,Electro
avalon-emerson-149508,AVALON EMERSON,Dj
saulius-petreikis-241889,SAULIUS PETREIKIS,Classique
david-fray-54634,DAVID FRAY,Classique
music-is-coming-12803,PHILEMON,Scène Française
cie-calabash-133143,CIE CALABASH,Danse
jeff-panacloc-adventure-12747,ASALIAH,Reggae
lalalar-186343,LALALAR,Electro
edub-166698,EDUB,Métal/Hard-Rock
nabihah-iqbal-173926,NABIHAH IQBAL,Rock
maras-172811,MARAS,Hip-Hop/Rap/R'n'B
cyrielle-ndjiki-nya-205867,CYRIELLE NDJIKI NYA,Classique
jeff-mills-2577,JEFF MILLS,Electro
senbei-63183,SENBEI,Electro
mutoid-man-141473,MUTOID MAN,Métal/Hard-Rock
le-comte-de-bouderbala-sami-ameziane-61853,LE COMTE DE BOUDERBALA (Sami Ameziane),Humour
the-jeff-panacloc-company-38172,THE JEFF PANACLOC COMPANY,Humour
keziah-jones-2002,KEZIAH JONES,Soul/Funk/Groove
crazy-dolls-and-the-bollocks-140416,CRAZY DOLLS AND THE BOLLOCKS,Scène Française
katia-et-marielle--labeque-7170,KATIA ET MARIELLE  LABEQUE,Classique
maria-joao-pires-63138,MARIA JOAO PIRES,Classique
cj-bolland-166537,CJ BOLLAND,Dj
weyes-blood-152894,WEYES BLOOD,Rock
khatia-buniatishvili-69597,KHATIA BUNIATISHVILI,Classique
kemmler-159622,KEMMLER,Hip-Hop/Rap/R'n'B
the-kvb-klaus-von-barrel-104629,THE KVB (KLAUS VON BARREL),Rock
sebastian-42039,SEBASTIAN,Electro
abel-cheret-136807,ABEL CHERET,Scène Française
sto-213833,STO,Hip-Hop/Rap/R'n'B
mat-bastard-157273,MAT BASTARD,Scène Française
kamel-le-magicien-95056,KAMEL LE MAGICIEN,Spectacle pour enfants
une-tres-belle-surprise-6651,DOUG KERSHAW,Jazz / Blues
tchaikovski-symphonic-choeur-et-orchestre-166436,TCHAIKOVSKI SYMPHONIC CHOEUR ET ORCHESTRE,Classique
elisabeth-leonskaja-69793,ELISABETH LEONSKAJA,Classique
illa-j-144184,ILLA J,Hip-Hop/Rap/R'n'B
jul-133765,JUL,Hip-Hop/Rap/R'n'B
chucho-valdes-21922,CHUCHO VALDES,World
fouad-reeves-113795,FOUAD REEVES,Humour
the-simon-173964,THE SIMON & GARFUNKEL STORY,Rock
odah-et-dako-133568,ODAH ET DAKO,Humour
gus-dapperton-166763,GUS DAPPERTON,Rock
sheku-kanneh-mason-176862,SHEKU KANNEH-MASON,Classique
thahomey-175921,THAHOMEY,Hip-Hop/Rap/R'n'B
nordine-ganso-166543,NORDINE GANSO,Humour
pierre-garnier-232189,PIERRE GARNIER,Variété Française
china-moses-42212,CHINA MOSES,Jazz / Blues
dolloster-138654,DOLLOSTER,Métal/Hard-Rock
nana-mouskouri-23645,NANA MOUSKOURI,Variété Française
sammy-decoster-40545,SAMMY DECOSTER,Scène Française
la-belle-bleue-101314,LA BELLE BLEUE,Scène Française
frederic-couderc-16181,FREDERIC COUDERC,Jazz / Blues
julien-dore-45638,JULIEN DORE,Scène Française
franz-ferdinand-28235,FRANZ FERDINAND,Rock
lebanon-hanover-131108,LEBANON HANOVER,Rock
chien-noir-164926,CHIEN NOIR,Scène Française
cocoon-36110,COCOON,Scène Française
lydie-walter-171493,LYDIE WALTER,Jazz / Blues
geremy-credeville-94154,GEREMY CREDEVILLE,Humour
miroir-13447,LAND'OZ,Scène Française
kev-adams-73162,KEV ADAMS,Humour
herein-187203,HEREIN,Rock
brit-floyd-the-pink-floyd-tribute-show-94062,BRIT FLOYD (The Pink Floyd Tribute Show),Rock
horme-237089,HORME,Jazz / Blues
a-bientot-quelque-part-laurie-peret-14063,FRANCIS CARMONA,Jazz / Blues
pop-legends--abba-181003,POP LEGENDS : ABBA & THE BEATLES,Spectacle Musical
jerome-rouger-67294,JEROME ROUGER,Humour
marie-claude-pietragalla-175256,MARIE CLAUDE PIETRAGALLA,Danse
gli-incogniti-55254,GLI INCOGNITI,Classique
le-seigneur-des-anneaux-la-communaute-de-lanneau-103820,"LE SEIGNEUR DES ANNEAUX, LA COMMUNAUTE DE L'ANNEAU",Ciné-concert
miss-whiskey-troublepants-bliss-168351,MISS WHISKEY TROUBLEPANTS BLISS,Jazz / Blues
vesselin-stanev-49769,VESSELIN STANEV,Classique
les-freaks-cest-chic-223045,LES FREAKS C'EST CHIC,Spectacles / cabaret
ahmed-sparrow-175719,AHMED SPARROW,Humour
charlie-haid-215527,CHARLIE HAID,Spectacle/évènement
pv-nova-166623,PV NOVA,Rock
andrey-pushkarev-87860,ANDREY PUSHKAREV,Electro
laurent-marfaing-150554,LAURENT MARFAING,Classique
nazca-86422,NAZCA,Scène Française
lulu-van-trapp-167491,LULU VAN TRAPP,Scène Française
raoul-ficel-11033,RAOUL FICEL,Jazz / Blues
sofi-tukker-154533,SOFI TUKKER,Variété pop internationale
carla-bruni-25711,CARLA BRUNI,Variété Française
baptiste-w-hamon-70250,BAPTISTE W HAMON,Scène Française
asney-17024,ASNEY,Reggae
zocco-baia-219661,ZOCCO BAIA,World
dedo-136600,DEDO,Humour
