event_type,city,venue_id,start_date,artist_id,artist_name
Concert,Bordeaux,theatre-femina-1324,2024-12-18T20:00:00,le-lac-des-cygnes-franceconcert-2025-211865,LE LAC DES CYGNES (Franceconcert 2025)
Concert,Bordeaux,cafe-theatre-des-beaux-arts-a-bordeaux-22142,2024-12-18T20:30:00,une-vie-sur-mesure-114417,UNE VIE SUR MESURE
Concert,Cenon,le-rocher-de-palmer-a-cenon-34504,2024-12-18T20:30:00,rk-169847,RK
Concert,Bordeaux,rock-school-barbey-3069,2024-12-19T00:00:00,moha-mmz-237091,MOHA MMZ
Concert,Floirac,arkea-arena---bordeaux-53144,2024-12-19T20:00:00,kaaris-122833,KAARIS
Concert,Bordeaux,theatre-moliere---scene-daquitaine-2936,2024-12-19T20:00:00,massacre-a-la-princesse-interdit-aux-enfants-217359,MASSACRE A LA PRINCESSE INTERDIT AUX ENFANTS
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-19T20:00:00,orchestre-national-bordeaux-aquitaine-onba-55282,ORCHESTRE NATIONAL BORDEAUX AQUITAINE (ONBA)
Concert,Bordeaux,theatre-femina-1324,2024-12-19T20:30:00,stand-alone-13981,STAND ALONE
Concert,Cenon,le-rocher-de-palmer-a-cenon-34504,2024-12-19T20:30:00,sidiki-diabate-167057,SIDIKI DIABATE
Concert,Cenon,espace-simone-signoret-68597,2024-12-19T20:30:00,hepatik-girl-marie-claire-neveu-14289,HEPATIK GIRL (Marie Claire Neveu)
Concert,Bordeaux,galerie-tatry--cafe-theatre-des-chartrons-de-bordeaux-18820,2024-12-19T20:30:00,pierre-arditi-177824,PIERRE ARDITI
Concert,Lanton,le-baryton-a-lanton-29825,2024-12-20T00:00:00,nku-blues-band-243441,NKU BLUES BAND
Concert,Lanton,le-baryton-a-lanton-29825,2024-12-20T00:00:00,lightnib-gbird-243947,LIGHTNIB GBIRD
Concert,Bordeaux,chapiteau-a-bordeaux-51917,2024-12-20T19:30:00,la-tournee-anniversaire-cirque-arlette-gruss-235591,LA TOURNEE ANNIVERSAIRE (Cirque Arlette Gruss)
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-20T20:00:00,orchestre-national-bordeaux-aquitaine-onba-55282,ORCHESTRE NATIONAL BORDEAUX AQUITAINE (ONBA)
Concert,Bordeaux,limpromptu-a-bordeaux-68893,2024-12-20T20:00:00,pascal-pistone-67699,PASCAL PISTONE
Concert,Bordeaux,theatre-casino-barriere-a-bordeaux-18073,2024-12-20T20:30:00,les-coquettes-138217,LES COQUETTES
Concert,Bordeaux,cinema-cgr-bordeaux-le-francais-74207,2024-12-20T20:30:00,lecran-pop---la-la-land-239701,L'ECRAN POP - LA LA LAND
Concert,Lanton,le-baryton-a-lanton-29825,2024-12-21T00:00:00,small-and-tall-180059,SMALL AND TALL
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-22T15:00:00,orchestre-national-bordeaux-aquitaine-onba-55282,ORCHESTRE NATIONAL BORDEAUX AQUITAINE (ONBA)
Concert,Floirac,arkea-arena---bordeaux-53144,2024-12-22T16:00:00,casse-noisette-lorchestre-philharmonique-national-de-moldavie-et-le-ballet-academique-de-naples-208629,CASSE NOISETTE (L'Orchestre Philharmonique National de Moldavie et le Ballet Académique de Naples)
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-22T20:00:00,orchestre-national-bordeaux-aquitaine-onba-55282,ORCHESTRE NATIONAL BORDEAUX AQUITAINE (ONBA)
Concert,Bordeaux,chapiteau-a-bordeaux-51917,2024-12-23T14:30:00,la-tournee-anniversaire-cirque-arlette-gruss-235591,LA TOURNEE ANNIVERSAIRE (Cirque Arlette Gruss)
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-23T20:00:00,orchestre-national-bordeaux-aquitaine-onba-55282,ORCHESTRE NATIONAL BORDEAUX AQUITAINE (ONBA)
Concert,Bordeaux,cafe-theatre-des-beaux-arts-a-bordeaux-22142,2024-12-23T20:30:00,une-vie-sur-mesure-114417,UNE VIE SUR MESURE
Concert,Bordeaux,galerie-tatry--cafe-theatre-des-chartrons-de-bordeaux-18820,2024-12-23T20:30:00,pierre-arditi-177824,PIERRE ARDITI
Concert,Bordeaux,theatre-moliere---scene-daquitaine-2936,2024-12-26T20:00:00,massacre-a-la-princesse-interdit-aux-enfants-217359,MASSACRE A LA PRINCESSE INTERDIT AUX ENFANTS
Concert,Bordeaux,cafe-theatre-des-beaux-arts-a-bordeaux-22142,2024-12-26T20:30:00,barber-shop-quartet-29113,BARBER SHOP QUARTET
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-27T20:00:00,orchestre-national-bordeaux-aquitaine-onba-55282,ORCHESTRE NATIONAL BORDEAUX AQUITAINE (ONBA)
Concert,Floirac,arkea-arena---bordeaux-53144,2024-12-28T20:00:00,harry-potter-et-la-coupe-de-feu-231759,HARRY POTTER ET LA COUPE DE FEU
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-28T20:00:00,orchestre-national-bordeaux-aquitaine-onba-55282,ORCHESTRE NATIONAL BORDEAUX AQUITAINE (ONBA)
Concert,Bordeaux,galerie-tatry--cafe-theatre-des-chartrons-de-bordeaux-18820,2024-12-30T20:30:00,pierre-arditi-177824,PIERRE ARDITI
Concert,Bordeaux,opera-national-de-bordeaux--grand-theatre-auditorium-8446,2024-12-31T20:00:00,orchestre-national-bordeaux-aquitaine-onba-55282,ORCHESTRE NATIONAL BORDEAUX AQUITAINE (ONBA)
Concert,Bordeaux,chapiteau-a-bordeaux-51917,2025-01-01T15:00:00,la-tournee-anniversaire-cirque-arlette-gruss-235591,LA TOURNEE ANNIVERSAIRE (Cirque Arlette Gruss)
Concert,Bordeaux,cafe-theatre-des-beaux-arts-a-bordeaux-22142,2025-01-02T20:30:00,barber-shop-quartet-29113,BARBER SHOP QUARTET
Concert,Bordeaux,galerie-tatry--cafe-theatre-des-chartrons-de-bordeaux-18820,2025-01-02T20:30:00,pierre-arditi-177824,PIERRE ARDITI
Concert,Bordeaux,eglise-notre-dame-a-bordeaux-16349,2025-01-03T20:00:00,orchestre-paris-classik-51597,ORCHESTRE PARIS CLASSIK
Concert,Floirac,arkea-arena---bordeaux-53144,2025-01-04T15:00:00,les-10-commandements-lenvie-daimer-220961,"LES 10 COMMANDEMENTS, L'ENVIE D'AIMER"
Concert,Floirac,arkea-arena---bordeaux-53144,2025-01-04T20:30:00,les-10-commandements-lenvie-daimer-220961,"LES 10 COMMANDEMENTS, L'ENVIE D'AIMER"
Concert,Floirac,arkea-arena---bordeaux-53144,2025-01-05T15:00:00,les-10-commandements-lenvie-daimer-220961,"LES 10 COMMANDEMENTS, L'ENVIE D'AIMER"
Concert,Bordeaux,eglise-notre-dame-a-bordeaux-16349,2025-01-05T18:00:00,gospel-voices-26197,GOSPEL VOICES
Concert,Bordeaux,theatre-casino-barriere-a-bordeaux-18073,2025-01-07T20:30:00,romeo-et-juliette-grand-ballet-de-kiev-236783,ROMEO ET JULIETTE (Grand Ballet de Kiev)
Concert,Bordeaux,galerie-tatry--cafe-theatre-des-chartrons-de-bordeaux-18820,2025-01-07T20:30:00,pierre-arditi-177824,PIERRE ARDITI
Concert,Bordeaux,chapiteau-a-bordeaux-51917,2025-01-08T14:30:00,la-tournee-anniversaire-cirque-arlette-gruss-235591,LA TOURNEE ANNIVERSAIRE (Cirque Arlette Gruss)
Concert,Bordeaux,theatre-femina-1324,2025-01-08T20:00:00,le-lac-des-cygnes-le-ballet-national-ukrainien-dodessa-153591,LE LAC DES CYGNES (Le Ballet National Ukrainien d'Odessa)
Concert,Bordeaux,galerie-tatry--cafe-theatre-des-chartrons-de-bordeaux-18820,2025-01-08T20:30:00,pierre-arditi-177824,PIERRE ARDITI
Concert,Merignac,le-pin-galant-7410,2025-01-09T20:30:00,andre-manoukian-57088,ANDRE MANOUKIAN
